id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
201044907,85ba31f2-de35-404d-a4dc-308275d5a33b,2024-03-02 14:45:34-06:00,2024-03-02,2024-03-02 20:45:34 UTC,Central Time (US & Canada),4166544,tarahtom,Tarah Thomas,2024-03-02 20:22:58 UTC,2024-03-06 19:29:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201044907,https://inaturalist-open-data.s3.amazonaws.com/photos/354821443/medium.jpg,,"",First one I’ve seen this spring. ,4,0,false,3,"Antietam Dr, Bossier City, LA, US",32.4590708266,-93.6489378884,281,,,,281,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201163024,25796be2-6c48-4420-90c2-25f08be6db69,2024-03-03 13:06:36-06:00,2024-03-03,2024-03-03 19:06:36 UTC,Central Time (US & Canada),4881651,dmlhudson,Danielle Lombardo Hudson,2024-03-03 19:24:00 UTC,2024-05-28 14:58:15 UTC,research,,https://www.inaturalist.org/observations/201163024,https://static.inaturalist.org/photos/355051692/medium.jpg,,"","",5,0,false,3,"Sioux St, Winona, MN, US",44.0526916667,-91.6534583333,7,,,,7,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201192759,cb8dad51-42ce-4ab7-aa45-8894909ed3dd,2024/03/03 6:16 PM,2024-03-03,2024-03-03 23:16:00 UTC,Eastern Time (US & Canada),6128821,jtdavis05,Jeff Davis,2024-03-03 23:17:00 UTC,2024-08-30 14:30:57 UTC,research,CC0,https://www.inaturalist.org/observations/201192759,https://inaturalist-open-data.s3.amazonaws.com/photos/355109811/medium.jpg,,"",,3,0,false,,"Ashfield, MA, USA",42.5498206432,-72.7566912221,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201206395,2a5906a8-335e-437a-8c06-1a2a28194681,2024-03-03 12:38:00-05:00,2024-03-03,2024-03-03 17:38:00 UTC,Eastern Time (US & Canada),3361076,garthbrewster,Garth Brewster,2024-03-04 01:18:42 UTC,2024-12-01 02:28:57 UTC,research,,https://www.inaturalist.org/observations/201206395,https://static.inaturalist.org/photos/355137828/medium.jpg,,"",The first Bombus sp. of the year!!! There were I believe five blueberry bees and this one Bombus impatiens. One of the male blueberry bees didn’t seem afraid to try and give the much larger Bombus a nudge to try and move him. The Bombus impatiens just seemed oblivious and kept sipping the nectar. ,5,0,false,3,"198th Trace, O Brien, FL, US",30.0843394717,-83.0862689972,36,,,,36,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201287870,737fa2a9-9378-45de-a0f3-f1c99b8bd0b5,2024-03-04 14:14:58-05:00,2024-03-04,2024-03-04 19:14:58 UTC,Eastern Time (US & Canada),2146853,shawnkerstetter,Shawn Kerstetter,2024-03-04 19:30:23 UTC,2024-08-29 18:41:53 UTC,research,CC0,https://www.inaturalist.org/observations/201287870,https://static.inaturalist.org/photos/355298643/medium.jpg,,"","",3,0,false,3,"Field Club Rd, Fox Chapel, PA, US",40.5306366667,-79.8598033333,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201371378,67dca790-d4c3-4381-b282-67eacd7e98ab,2024-03-05 09:42:09-05:00,2024-03-05,2024-03-05 14:42:09 UTC,Eastern Time (US & Canada),7777860,emilycox32,,2024-03-05 14:42:24 UTC,2024-06-05 17:43:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201371378,https://inaturalist-open-data.s3.amazonaws.com/photos/355460981/medium.jpg,,"","",2,0,false,3,"University of Central Florida Arboretum Trail, Orlando, FL, US",28.6043778316,-81.1917219585,4,,,,4,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201371416,62370b65-81ac-47a7-89d5-5b31a2031efd,2024-03-05 09:42:31-05:00,2024-03-05,2024-03-05 14:42:31 UTC,Eastern Time (US & Canada),7795705,is803052,,2024-03-05 14:42:51 UTC,2024-04-26 20:04:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201371416,https://inaturalist-open-data.s3.amazonaws.com/photos/355461039/medium.jpg,,"","",3,0,false,3,"University of Central Florida Arboretum Trail, Orlando, FL, US",28.6042879941,-81.1918062252,549,,,,549,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201377731,0de6b1c0-8f45-465b-b554-382f0d18b2ff,2024-03-05 10:56:07,2024-03-05,2024-03-05 15:56:07 UTC,Eastern Time (US & Canada),815055,kd10451,,2024-03-05 15:58:26 UTC,2024-03-07 04:32:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201377731,https://inaturalist-open-data.s3.amazonaws.com/photos/355472497/medium.jpeg,,"",,3,0,false,2,"Wayne Township, OH, USA",40.8738547026,-81.9118711352,512,,,,512,,open,false,gps,gps,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201390714,32ea4826-ecba-448f-b14b-8eb4c0d96b32,2024-03-05 13:13:12-05:00,2024-03-05,2024-03-05 18:13:12 UTC,Eastern Time (US & Canada),583685,carol333,,2024-03-05 18:16:38 UTC,2024-09-04 13:32:55 UTC,research,,https://www.inaturalist.org/observations/201390714,https://static.inaturalist.org/photos/355497408/medium.jpg,,"","",2,0,false,3,"Washington Ave, Kenmore, NY, US",42.96697,-78.8719166667,13,,,,13,,open,false,,,Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
201405947,c2568c11-1ead-4754-979c-7e40e616975f,2024-03-04 14:00:46,2024-03-04,2024-03-04 19:00:46 UTC,Eastern Time (US & Canada),18668,xris,Chris Kreussling (Flatbush Gardener),2024-03-05 21:08:46 UTC,2024-09-04 13:32:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/201405947,https://inaturalist-open-data.s3.amazonaws.com/photos/355527350/medium.jpg,,"2024-03, Beverley Square West, March 20924, Kings County, nyc, New York City, 2024, brooklyn, My Garden, My House, Flatbush, march, 2024-03-04","Eastern Bumble Bee gyne (Bombus impatiens) visiting Crocus tommmasinianus clowers in my front yard, March 2024",3,0,false,,"Beverly Square East, New York, United States",40.642616,-73.968389,,,,,,,open,false,,"",Common Eastern Bumble Bee,Bombus impatiens,Common Eastern Bumble Bee,Insecta,118970
