Acanthis flammea
Accipiter cooperii
Accipiter gentilis
Accipiter nisus
Accipiter striatus
Acridotheres tristis
Actitis hypoleucos
Actitis macularius
Actophilornis africanus
Aechmophorus clarkii
Aechmophorus occidentalis
Aegithalos caudatus
Aegolius acadicus
Aeronautes saxatalis
Agelaius phoeniceus
Agelaius tricolor
Aimophila ruficeps
Aix galericulata
Aix sponsa
Alauda arvensis
Alca torda
Alcedo atthis
Alectoris chukar
Alectoris rufa
Alectura lathami
Alisterus scapularis
Alopochen aegyptiaca
Amaurornis phoenicurus
Amazilia beryllina
Amazilia rutila
Amazilia tzacatl
Amazilia violiceps
Amazilia yucatanensis
Amazona albifrons
Amazona autumnalis
Amazona oratrix
Amazona viridigenalis
Ammodramus maritimus
Ammodramus nelsoni
Ammodramus savannarum
Amphispiza bilineata
Anas acuta
Anas americana
Anas bahamensis
Anas chlorotis
Anas clypeata
Anas crecca
Anas crecca carolinensis
Anas cyanoptera
Anas discors
Anas fulvigula
Anas gracilis
Anas penelope
Anas platyrhynchos
Anas platyrhynchos diazi
Anas platyrhynchos domesticus
Anas querquedula
Anas rubripes
Anas strepera
Anas superciliosa
Anas superciliosa  platyrhynchos
Anastomus lamelligerus
Anhinga anhinga
Anhinga novaehollandiae
Anhinga rufa
Anous stolidus
Anser albifrons
Anser anser
Anser anser domesticus
Anser cygnoides domesticus
Anthornis melanura
Anthus novaeseelandiae novaeseelandiae
Anthus pratensis
Anthus rubescens
Antigone canadensis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma wollweberi
Aphelocoma woodhouseii
Apus apus
Aquila chrysaetos
Ara macao
Ara militaris
Aramides cajaneus
Aramus guarauna
Aratinga nenday
Archilochus alexandri
Archilochus colubris
Ardea alba
Ardea alba modesta
Ardea cinerea
Ardea cocoi
Ardea herodias
Ardea herodias occidentalis
Ardea purpurea
Ardenna creatopus
Ardenna gravis
Ardeola ralloides
Ardeotis kori
Arenaria interpres
Arenaria melanocephala
Arremonops rufivirgatus
Artemisiospiza belli
Asio flammeus
Asio otus
Athene cunicularia
Athene noctua
Aulacorhynchus prasinus
Auriparus flaviceps
Aythya affinis
Aythya americana
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya marila
Aythya novaeseelandiae
Aythya valisineria
Baeolophus atricristatus
Baeolophus bicolor
Baeolophus inornatus
Balearica regulorum
Bartramia longicauda
Basileuterus rufifrons
Bombycilla cedrorum
Bombycilla garrulus
Bonasa umbellus
Bostrychia hagedash
Botaurus lentiginosus
Branta bernicla
Branta canadensis
Branta hutchinsii
Branta leucopsis
Branta sandvicensis
Bubo scandiacus
Bubo virginianus
Bubulcus ibis
Bucephala albeola
Bucephala clangula
Bucephala islandica
Bucorvus leadbeateri
Busarellus nigricollis
Buteo albonotatus
Buteo brachyurus
Buteo buteo
Buteo jamaicensis
Buteo lagopus
Buteo lineatus
Buteo lineatus elegans
Buteo plagiatus
Buteo platypterus
Buteo regalis
Buteo swainsoni
Buteogallus anthracinus
Butorides striata
Butorides virescens
Cacatua galerita
Cairina moschata
Cairina moschata domestica
Calamospiza melanocorys
Calcarius lapponicus
Calidris alba
Calidris alpina
Calidris bairdii
Calidris canutus
Calidris ferruginea
Calidris fuscicollis
Calidris himantopus
Calidris maritima
Calidris mauri
Calidris melanotos
Calidris minutilla
Calidris pugnax
Calidris pusilla
Calidris subruficollis
Calidris virgata
Callipepla californica
Callipepla gambelii
Callipepla squamata
Calocitta colliei
Calocitta formosa
Calothorax lucifer
Calypte anna
Calypte costae
Campephilus guatemalensis
Camptostoma imberbe
Campylopterus hemileucurus
Campylorhynchus brunneicapillus
Campylorhynchus rufinucha
Caracara cheriway
Caracara plancus
Cardellina canadensis
Cardellina pusilla
Cardellina rubra
Cardinalis cardinalis
Cardinalis sinuatus
Carduelis cannabina
Carduelis carduelis
Cassiculus melanicterus
Cathartes aura
Cathartes burrovianus
Catharus fuscescens
Catharus guttatus
Catharus minimus
Catharus ustulatus
Catherpes mexicanus
Cepphus columba
Cepphus grylle
